word,pos
адолатсизлик,NOUN
адоқ,NOUN
адоқламоқ,NOUN
адрамкаш,NOUN
адресланмоқ,NOUN
адувлиқ,NOUN
адулиқ,NOUN
ажабланмоқ,NOUN
ажабсинмоқ,NOUN
ажам,NOUN
ажилламоқ,NOUN
ажин,NOUN
ажиндор,NOUN
ажирвоқи,NOUN
ажойиб,NOUN
ажойибхона,NOUN
ажралишмоқ,NOUN
ажралмоқ,NOUN
ажрамачилик,NOUN
ажрамоқ,NOUN
ажратма,NOUN
ажратмоқ,NOUN
ажрашмоқ,NOUN
ажрим,NOUN
ажриқ,NOUN
ажриқзор,NOUN
аза,NOUN
азавозлик,NOUN
азадор,NOUN
азайимхон,NOUN
азайимхонлик,NOUN
азал,NOUN
азалги,NOUN
азалик,NOUN
азахона,NOUN
азизламоқ,NOUN
азим,NOUN
азият,NOUN
азоб,NOUN
азобламоқ,NOUN
азон,NOUN
азончи,NOUN
азот,NOUN
азотламоқ,NOUN
айб,NOUN
айбаки,NOUN
айбдор,NOUN
айбламоқ,NOUN
айбланувчи,NOUN
айблов,NOUN
айбловчи,NOUN
айбнома,NOUN
айбситмоқ,NOUN
айирбошламоқ,NOUN
айиргич,NOUN
айирма,NOUN
айирмачи,NOUN
айирмачилик,NOUN
айирмоқ,NOUN
айиқ,NOUN
айламоқ,NOUN
айланиб-ўргилмоқ,NOUN
айланишмоқ,NOUN
айланма,NOUN
айланмачоқ,NOUN
айланмоқ,NOUN
айлантирмоқ,NOUN
аймашмоқ,NOUN
аймоқ,NOUN
аймоқи,NOUN
айнама,NOUN
айнамачи,NOUN
айнамоқ,NOUN
айнимачи,NOUN
айнимоқ,NOUN
айри,NOUN
айрилик,NOUN
айрилиқ,NOUN
айрилмоқ,NOUN
айрилувчи,NOUN
айрим,NOUN
айрича,NOUN
айролиқ,NOUN
айтайлик,NOUN
айтгандек,NOUN
айтганча,NOUN
айтим,NOUN
айтишмоқ,NOUN
айтмоқ,NOUN
айтмоқчи,NOUN
айттирмоқ,NOUN
айёр,NOUN
айёрлик,NOUN
айғоқ,NOUN
айғоқламоқ,NOUN
айғоқчи,NOUN
айғоқчилик,NOUN
айқашмоқ,NOUN
айқирмоқ,NOUN
айҳайламоқ,NOUN
ак-ак,NOUN
академик,NOUN
акашак,NOUN
акашакланмоқ,NOUN
аквариум,NOUN
акведук,NOUN
акилдоқ,NOUN
акилламоқ,NOUN
аккордеон,NOUN
аккордеончи,NOUN
акробат,NOUN
акробатик,NOUN
акробатчи,NOUN
акс,NOUN
аксилинқилоб,NOUN
аксилинқилобчи,NOUN
аксилҳаракат,NOUN
аксилҳаракатчи,NOUN
аксинча,NOUN
аксиома,NOUN
аксирмоқ,NOUN
аксича,NOUN
аксланмоқ,NOUN
акслик,NOUN
активлашмоқ,NOUN
актёр,NOUN
актёрлик,NOUN
акустик,NOUN
акушерлик,NOUN
акционер,NOUN
акционерлик,NOUN
акция,NOUN
акциядор,NOUN
акциядорлик,NOUN
алайкум,NOUN
алак,NOUN
алам,NOUN
алам-аччиқ,NOUN
аламдор,NOUN
аламланмоқ,NOUN
аламнок,NOUN
аланга,NOUN
алангаланмоқ,NOUN
алангламоқ,NOUN
аласламоқ,NOUN
алахсимоқ,NOUN
алача,NOUN
алағсирамоқ,NOUN
алақ-чалақ,NOUN
алаҳламоқ,NOUN
алгебраик,NOUN
алдамоқ,NOUN
алдамчи,NOUN
алдамчилик,NOUN
алдоқчи,NOUN
алдоқчилик,NOUN
алжимоқ,NOUN
алжирамоқ,NOUN
алик,NOUN
алифламоқ,NOUN
алифмой,NOUN
алишинмоқ,NOUN
алишмоқ,NOUN
алкаш,NOUN
алкоголик,NOUN
аллаким,NOUN
аллаламоқ,NOUN
алланеча,NOUN
алланечук,NOUN
алланима,NOUN
аллақанча,NOUN
аллегорик,NOUN
аллергик,NOUN
аллергологик,NOUN
аллома,NOUN
алмашинмоқ,NOUN
алмашламоқ,NOUN
алмашмоқ,NOUN
алмаштирмоқ,NOUN
алмисоқ,NOUN
алмисоқи,NOUN
алой,NOUN
алоқ-чалоқ,NOUN
алоқа,NOUN
алоқадор,NOUN
алоқачи,NOUN
альт,NOUN
альтчи,NOUN
алюмин,NOUN
алёр,NOUN
алёрчи,NOUN
алқамоқ,NOUN
амаки,NOUN
амакивачча,NOUN
амал,NOUN
амалдор,NOUN
амалиёт,NOUN
амалиётчи,NOUN
амалламоқ,NOUN
амалпараст,NOUN
амалпарастлик,NOUN
амальгама,NOUN
амин,NOUN
амир,NOUN
амирлик,NOUN
амлок,NOUN
амлокдор,NOUN
амма,NOUN
аммавачча,NOUN
аммиак,NOUN
амома,NOUN
ампер,NOUN
аналитик,NOUN
аналогик,NOUN
анархист,NOUN
анархистик,NOUN
анархистлик,NOUN
анархия,NOUN
анархиячи,NOUN
анатомик,NOUN
ангилламоқ,NOUN
ангина,NOUN
ангиома,NOUN
англамоқ,NOUN
англатмоқ,NOUN
англашилмовчилик,NOUN
англашилмоқ,NOUN
анграймоқ,NOUN
андаваламоқ,NOUN
андаза,NOUN
андак,NOUN
андиша,NOUN
анжир,NOUN
анжирзор,NOUN
аниқ,NOUN
аниқ-таниқ,NOUN
аниқламоқ,NOUN
аниқлашмоқ,NOUN
аниқлик,NOUN
аниқловчи,NOUN
аноним,NOUN
анонимчи,NOUN
анор,NOUN
анорганик,NOUN
анорзор,NOUN
антагонистик,NOUN
антибиотик,NOUN
антик,NOUN
антропологик,NOUN
антропометрик,NOUN
анча,NOUN
анча-мунча,NOUN
анчагина,NOUN
анчаки,NOUN
анъана,NOUN
анғишламоқ,NOUN
анқаймоқ,NOUN
анқимоқ,NOUN
анқов,NOUN
анқовланмоқ,NOUN
анқовлик,NOUN
анқовсирамоқ,NOUN
апоқ-чапоқ,NOUN
апоқ-чапоқлашмоқ,NOUN
аппарат,NOUN
аппаратчи,NOUN
аптека,NOUN
аптекачи,NOUN
апшурмоқ,NOUN
ар,NOUN
араб,NOUN
арабча,NOUN
арабшунос,NOUN
арабшунослик,NOUN
арава,NOUN
аравак,NOUN
аравакаш,NOUN
аравасоз,NOUN
аравасозлик,NOUN
араз,NOUN
аразламоқ,NOUN
аразлашмоқ,NOUN
аразчи,NOUN
аралашма,NOUN
аралашмоқ,NOUN
арақ,NOUN
арақи,NOUN
арақхўрлик,NOUN
ардоқ,NOUN
ардоқламоқ,NOUN
арз,NOUN
арза,NOUN
арзачи,NOUN
арзигудек,NOUN
арзикулик,NOUN
арзимоқ,NOUN
арзнома,NOUN
арзон,NOUN
арзонламоқ,NOUN
арзонлашмоқ,NOUN
арзонсинмоқ,NOUN
арзончилик,NOUN
ари,NOUN
ариза,NOUN
аризабоз,NOUN
аризабозлик,NOUN
аризачи,NOUN
арилламоқ,NOUN
аримоқ,NOUN
аристократик,NOUN
аристон,NOUN
арифметик,NOUN
арихона,NOUN
аричи,NOUN
аричилик,NOUN
ариқ,NOUN
ариқча,NOUN
арк,NOUN
аркон,NOUN
арматура,NOUN
арматурачи,NOUN
ароқ,NOUN
арра,NOUN
арракаш,NOUN
арракашлик,NOUN
арраламоқ,NOUN
аррачи,NOUN
артиллерия,NOUN
артиллериячи,NOUN
артинмоқ,NOUN
артист,NOUN
артистлик,NOUN
артмоқ,NOUN
арфа,NOUN
арфачи,NOUN
архаик,NOUN
археологик,NOUN
архив,NOUN
архивчи,NOUN
архившунос,NOUN
архившунослик,NOUN
архитектоник,NOUN
архитектор,NOUN
архитекторлик,NOUN
арча,NOUN
арчазор,NOUN
арчимоқ,NOUN
арчмоқ,NOUN
арғамчи,NOUN
арғимчоқ,NOUN
арғувон,NOUN
арғумоқ,NOUN
арқирамоқ,NOUN
арқонламоқ,NOUN
арқоқ,NOUN
асаб,NOUN
асаббозлик,NOUN
асабий,NOUN
асабийланмоқ,NOUN
асабийлашмоқ,NOUN
асабийлик,NOUN
асалари,NOUN
асаларичи,NOUN
асаларичилик,NOUN
асбобсозлик,NOUN
асимметрик,NOUN
асир,NOUN
асирлик,NOUN
аскар,NOUN
аскарлик,NOUN
аскарча,NOUN
аския,NOUN
аскиябоз,NOUN
аскиябозлик,NOUN
аскиячи,NOUN
асл,NOUN
аслаҳа,NOUN
аслаҳахона,NOUN
асос,NOUN
асосламоқ,NOUN
асосланмоқ,NOUN
асосчи,NOUN
асотир,NOUN
аср,NOUN
асрамоқ,NOUN
асрдош,NOUN
асрчилик,NOUN
ассистент,NOUN
ассистентлик,NOUN
астар,NOUN
астарлик,NOUN
астма,NOUN
астрономик,NOUN
асфальт,NOUN
асфальтламоқ,NOUN
асқатмоқ,NOUN
атавистик,NOUN
атай,NOUN
атак-чечак,NOUN
атала-умоч,NOUN
аталамоқ,NOUN
аталанмоқ,NOUN
аталмоқ,NOUN
атама,NOUN
атамашунос,NOUN
атамашунослик,NOUN
атамоқ,NOUN
атанмоқ,NOUN
атеистик,NOUN
атиги,NOUN
атлетик,NOUN
атлетика,NOUN
атлетикачи,NOUN
атмосфера,NOUN
атом,NOUN
атомбоз,NOUN
атомистик,NOUN
атомчи,NOUN
атоқ,NOUN
атоқламоқ,NOUN
атроф,NOUN
атрофли,NOUN
атрофлича,NOUN
аттор,NOUN
атторлик,NOUN
афористик,NOUN
афсона,NOUN
афсун,NOUN
афсунгар,NOUN
афсунгарлик,NOUN
афсунламоқ,NOUN
афсунчи,NOUN
афсус,NOUN
афсуски,NOUN
афсусланмоқ,NOUN
афғон,NOUN
ахборот,NOUN
ахборотнома,NOUN
ахлат,NOUN
ахлатхона,NOUN
ахлоқ,NOUN
ахлоқсиз,NOUN
ахлоқсизлик,NOUN
ахта,NOUN
ахталамоқ,NOUN
ахтармоқ,NOUN
ахтахона,NOUN
ача,NOUN
ачимоқ,NOUN
ачимсиқ,NOUN
ачинмоқ,NOUN
ачитма,NOUN
ачитмоқ,NOUN
ачитқи,NOUN
ачишмоқ,NOUN
ачомламоқ,NOUN
аччиқ,NOUN
аччиқ-тиззиқ,NOUN
аччиқ-тирсиқ,NOUN
аччиқ-чучук,NOUN
аччиқланмоқ,NOUN
аччиқлашмоқ,NOUN
ашк,NOUN
аштак,NOUN
аштак-паштак,NOUN
ашула,NOUN
ашулачи,NOUN
ашё,NOUN
аъзо,NOUN
аъзолик,NOUN
аъло,NOUN
аълочи,NOUN
аэродинамик,NOUN
аямоқ,NOUN
аянч,NOUN
аёв,NOUN
аёз,NOUN
аёзламоқ,NOUN
аёнлашмоқ,NOUN
аёқ,NOUN
аёқчи,NOUN
ағанамоқ,NOUN
ағдарма,NOUN
ағдармоқ,NOUN
ағнамоқ,NOUN
ағраймоқ,NOUN
ақида,NOUN
ақидапараст,NOUN
ақидапарастлик,NOUN
ақирмоқ,NOUN
ақиқ,NOUN
ақл,NOUN
ақллашмоқ,NOUN
ақлли,NOUN
ақллилик,NOUN
ақча,NOUN
аҳамият,NOUN
аҳд,NOUN
аҳдлашмоқ,NOUN
аҳднома,NOUN
аҳил,NOUN
аҳиллашмоқ,NOUN
аҳиллик,NOUN
аҳилчилик,NOUN
аҳмоқ,NOUN
аҳмоқгарчилик,NOUN
аҳмоқлик,NOUN
аҳмоқчилик,NOUN
ба,NOUN
бабақ,NOUN
багажник,NOUN
бад,NOUN
бадавлат,NOUN
бадавлатлик,NOUN
бадахлоқ,NOUN
бадбахт,NOUN
бадбахтлик,NOUN
бадбин,NOUN
бадбинлик,NOUN
бадбўй,NOUN
бадбўйлик,NOUN
бадгумон,NOUN
бадгумонлик,NOUN
баджаҳл,NOUN
баджаҳллик,NOUN
бадзабон,NOUN
бадиий,NOUN
бадиийлик,NOUN
бадик,NOUN
бадикхон,NOUN
бадикчи,NOUN
бадиҳагўй,NOUN
бадиҳагўйлик,NOUN
бадкир,NOUN
бадкирдор,NOUN
бадкирдорлик,NOUN
бадкор,NOUN
бадкорлик,NOUN
бадланмоқ,NOUN
бадмаст,NOUN
бадмастлик,NOUN
баднафс,NOUN
баднафслик,NOUN
бадном,NOUN
бадномлик,NOUN
бадраф,NOUN
бадрафхона,NOUN
бадрашк,NOUN
бадтарлашмоқ,NOUN
бадфеъл,NOUN
бадфеъллик,NOUN
бадхоҳ,NOUN
бадхоҳлик,NOUN
бадхулқ,NOUN
бадқовоқ,NOUN
бажармоқ,NOUN
база,NOUN
баззоз,NOUN
баззозлик,NOUN
базм,NOUN
базмхона,NOUN
базмчи,NOUN
байбайламоқ,NOUN
байдоқ,NOUN
байирлашмоқ,NOUN
байлашмоқ,NOUN
байналмилал,NOUN
байналмилаллик,NOUN
байналмилалчи,NOUN
байналмилалчилик,NOUN
байналхалқ,NOUN
байрам,NOUN
байрамбозлик,NOUN
байрамлашмоқ,NOUN
байрамлик,NOUN
байроқ,NOUN
байроқдор,NOUN
байроқча,NOUN
бак,NOUN
бакрабалиқ,NOUN
бактериологик,NOUN
бал,NOUN
балабон,NOUN
баланд,NOUN
баланд-паст,NOUN
баланд-пастлик,NOUN
баландламоқ,NOUN
баландлатмоқ,NOUN
баландлик,NOUN
баландпарвоз,NOUN
баландпарвозлик,NOUN
балансламоқ,NOUN
балдоқ,NOUN
балет,NOUN
балетчи,NOUN
балиқ,NOUN
балиқпаз,NOUN
балиқтозалагич,NOUN
балиқчи,NOUN
балиқчи-укки,NOUN
балиқчилик,NOUN
балки,NOUN
балким,NOUN
баллистик,NOUN
баллон,NOUN
бало,NOUN
балокаш,NOUN
балоқ,NOUN
балчиқ,NOUN
балчиқлик,NOUN
балчиқчи,NOUN
бальнеологик,NOUN
балқ,NOUN
балқимоқ,NOUN
балқитмоқ,NOUN
бамайлихотир,NOUN
бамайлихотирлик,NOUN
бамахнилик,NOUN
бамбук,NOUN
бамбукайиқ,NOUN
бамбукзор,NOUN
банан,NOUN
бананзор,NOUN
банги,NOUN
бангилик,NOUN
бангихона,NOUN
банд,NOUN
банда,NOUN
бандак,NOUN
бандалик,NOUN
бандахона,NOUN
бандачилик,NOUN
банди,NOUN
бандибон,NOUN
бандилик,NOUN
бандит,NOUN
бандитлик,NOUN
бандихона,NOUN
бандлик,NOUN
банк,NOUN
банкрот,NOUN
банкротлашмоқ,NOUN
банкротлик,NOUN
бантик,NOUN
бар,NOUN
барабан,NOUN
барабанчи,NOUN
баравар,NOUN
бараварламоқ,NOUN
бараварлашмоқ,NOUN
бараварлик,NOUN
барак,NOUN
барака,NOUN
баракалла,NOUN
баракаллачи,NOUN
баракат,NOUN
барваста,NOUN
барвасталик,NOUN
барг,NOUN
баргак,NOUN
баргламоқ,NOUN
бардам,NOUN
бардамлашмоқ,NOUN
бардамлик,NOUN
бардор,NOUN
бардор-бардор,NOUN
бардош,NOUN
бардошли,NOUN
бардошлилик,NOUN
барзанги,NOUN
баркамол,NOUN
баркамоллик,NOUN
баркаш,NOUN
бармоқ,NOUN
барограмма,NOUN
барометрик,NOUN
баротравма,NOUN
бароқ,NOUN
барча,NOUN
барқ,NOUN
барқарор,NOUN
барқарорлик,NOUN
барҳақ,NOUN
бас,NOUN
баскетбол,NOUN
баскетболчи,NOUN
баски,NOUN
баслашмоқ,NOUN
басмабаслашмоқ,NOUN
баста,NOUN
бастакор,NOUN
бастакорлик,NOUN
басталамоқ,NOUN
басталик,NOUN
батрак,NOUN
батраклашмоқ,NOUN
баттарлашмоқ,NOUN
баттол,NOUN
баттоллик,NOUN
бахил,NOUN
бахиллик,NOUN
бахт,NOUN
бахтиёр,NOUN
бахтиёрлик,NOUN
бахтнома,NOUN
бахтсиз,NOUN
бахтсизлик,NOUN
бахя,NOUN
бахядўз,NOUN
бахяламоқ,NOUN
бача,NOUN
бачалик,NOUN
бачкана,NOUN
бачканабоз,NOUN
бачканабозлик,NOUN
бачканагарчилик,NOUN
бачканадўз,NOUN
бачканаларча,NOUN
бачканалашмоқ,NOUN
бачканалаштирмоқ,NOUN
бачканалик,NOUN
бачки,NOUN
бачкиламоқ,NOUN
бачча,NOUN
баччабоз,NOUN
баччабозлик,NOUN
баччалик,NOUN
баччаталоқ,NOUN
баччахўрак,NOUN
башар,NOUN
башорат,NOUN
башоратчи,NOUN
баян,NOUN
баянчи,NOUN
баён,NOUN
баённома,NOUN
баёнчилик,NOUN
бағбақа,NOUN
бағбақадор,NOUN
бағилламоқ,NOUN
бағир,NOUN
бағирламоқ,NOUN
бағишламоқ,NOUN
бағишловчи,NOUN
бағрикенглик,NOUN
бақ-бақалоқ,NOUN
бақа,NOUN
бақалоқ,NOUN
бақатерак,NOUN
бақачаноқ,NOUN
бақаяпроқ,NOUN
бақақуруллоқ,NOUN
бақбақа,NOUN
бақилламоқ,NOUN
бақиришмоқ,NOUN
бақириқ,NOUN
бақириқ-чақириқ,NOUN
бақирламоқ,NOUN
бақирмоқ,NOUN
бақироқ,NOUN
бақия,NOUN
бақиядор,NOUN
бақлажон,NOUN
бақо,NOUN
бақрайганча,NOUN
бақраймоқ,NOUN
бақрайтирмоқ,NOUN
бақрайтмоқ,NOUN
бақувват,NOUN
бақувватлик,NOUN
баққол,NOUN
баққоллик,NOUN
баққолхона,NOUN
баққолчилик,NOUN
баҳамжиҳат,NOUN
баҳамжиҳатлик,NOUN
баҳақ,NOUN
баҳаққ,NOUN
баҳбаҳламоқ,NOUN
баҳо,NOUN
баҳодир,NOUN
баҳодирлар,NOUN
баҳодирларча,NOUN
баҳодирлик,NOUN
баҳоий,NOUN
баҳоийлик,NOUN
баҳоламоқ,NOUN
баҳолашмоқ,NOUN
баҳоловчи,NOUN
баҳона,NOUN
баҳоначи,NOUN
баҳор,NOUN
баҳорги,NOUN
баҳорикор,NOUN
баҳорикорлик,NOUN
баҳористон,NOUN
баҳра,NOUN
баҳраланмоқ,NOUN
баҳс,NOUN
баҳсдош,NOUN
баҳслашмоқ,NOUN
баҳслашув,NOUN
баҳслашувчи,NOUN
баҳсчи,NOUN
бе,NOUN
беадаб,NOUN
беадабгарчилик,NOUN
беадаблик,NOUN
беадабчилик,NOUN
беандиша,NOUN
беандишалик,NOUN
беахлоқ,NOUN
беахлоқлик,NOUN
беаёв,NOUN
беаёвлик,NOUN
бебаркаш,NOUN
бебилчак,NOUN
бебозор,NOUN
бебок,NOUN
бебош,NOUN
бебошвоқ,NOUN
бебошлик,NOUN
бебурд,NOUN
бебурдлик,NOUN
бева,NOUN
бевалик,NOUN
бевафо,NOUN
бевафолик,NOUN
бевош,NOUN
бевошлик,NOUN
бегим,NOUN
бегойим,NOUN
бегона,NOUN
бегоналашмоқ,NOUN
бегоналик,NOUN
бегонасирамоқ,NOUN
беда,NOUN
бедавлат,NOUN
бедавлатлик,NOUN
бедазор,NOUN
бедакор,NOUN
бедакорлик,NOUN
бедана,NOUN
беданабоз,NOUN
беданамашак,NOUN
бедарак,NOUN
бедармон,NOUN
бедармонлик,NOUN
бедахона,NOUN
бедачилик,NOUN
бедил,NOUN
бедилхонлик,NOUN
бедод,NOUN
бедодлик,NOUN
бедом-дарак,NOUN
бедор,NOUN
бедорлик,NOUN
бежама,NOUN
бежамадор,NOUN
бежамоқ,NOUN
бежирим,NOUN
бежой,NOUN
бежоланмоқ,NOUN
бежон,NOUN
бежоғлиқ,NOUN
безабон,NOUN
безак,NOUN
безакдор,NOUN
безакчи,NOUN
безамоқ,NOUN
безангламоқ,NOUN
безанмоқ,NOUN
безбет,NOUN
безбетлик,NOUN
безгак,NOUN
безгалдак,NOUN
бездирмоқ,NOUN
безилламоқ,NOUN
безмоқ,NOUN
безовта,NOUN
безовталанмоқ,NOUN
безовталик,NOUN
безовчи,NOUN
безор,NOUN
безори,NOUN
безорижон,NOUN
безорилик,NOUN
безраймоқ,NOUN
беидрок,NOUN
беиштиёқ,NOUN
беишқ,NOUN
бек,NOUN
бекас,NOUN
бекаслик,NOUN
бекат,NOUN
бекатча,NOUN
бекатчи,NOUN
бекач,NOUN
бекбачча,NOUN
беквачча,NOUN
бекик,NOUN
бекилмоқ,NOUN
бекинмачоқ,NOUN
бекинмоқ,NOUN
бекитиқча,NOUN
бекитмоқ,NOUN
бекламоқ,NOUN
бекларбеги,NOUN
беклик,NOUN
бекор,NOUN
бекорлик,NOUN
бекорчи,NOUN
бекорчилик,NOUN
бекуч,NOUN
бел,NOUN
белак,NOUN
беламоқ,NOUN
беланги,NOUN
беланмоқ,NOUN
беланчак,NOUN
беланғич,NOUN
белат,NOUN
белатчи,NOUN
белашмоқ,NOUN
белбоғ,NOUN
белбоғлик,NOUN
белбурма,NOUN
белги,NOUN
белгиламоқ,NOUN
белгиланмоқ,NOUN
белгиловчи,NOUN
белдамча,NOUN
белдор,NOUN
белкаш,NOUN
белкурак,NOUN
беллашмоқ,NOUN
беллетристик,NOUN
беллик,NOUN
белорус,NOUN
белорусча,NOUN
белча,NOUN
белчаламоқ,NOUN
белчи,NOUN
бельгиялик,NOUN
белўроқ,NOUN
бемадор,NOUN
бемадорлик,NOUN
бемажол,NOUN
бемажоллик,NOUN
бемаза,NOUN
бемазагарлик,NOUN
бемазагарчилик,NOUN
бемазалашмоқ,NOUN
бемазалик,NOUN
бемазачилик,NOUN
бемаслак,NOUN
бемаъни,NOUN
бемаънигарчилик,NOUN
бемаънилик,NOUN
бемеҳр,NOUN
бемеҳрлик,NOUN
бемор,NOUN
беморлик,NOUN
беморхона,NOUN
бемулоҳазалик,NOUN
бенгзамоқ,NOUN
бензобак,NOUN
беномус,NOUN
беномуслик,NOUN
беодоб,NOUN
беодоблик,NOUN
беозор,NOUN
беозорлик,NOUN
беор,NOUN
беорлик,NOUN
беоқибат,NOUN
беоқибатлик,NOUN
бепарво,NOUN
бепарволик,NOUN
беписанд,NOUN
беписандлик,NOUN
бепичоқ,NOUN
бепосанги,NOUN
бепоён,NOUN
бепоёнлик,NOUN
бепушт,NOUN
бепуштлик,NOUN
бераҳм,NOUN
бераҳмлик,NOUN
берберчи,NOUN
бери,NOUN
бериги,NOUN
берилган,NOUN
берилганлик,NOUN
берилл,NOUN
берилмоқ,NOUN
берилувчан,NOUN
берилувчанлик,NOUN
беришмоқ,NOUN
берк,NOUN
бермоқ,NOUN
берч,NOUN
бесабр,NOUN
бесабрлик,NOUN
бесаноқ,NOUN
бесаранжом,NOUN
бесаранжомлик,NOUN
бесоқол,NOUN
бесоқолбоз,NOUN
бет,NOUN
бетавфиқ,NOUN
бетамиз,NOUN
бетамизлик,NOUN
бетараф,NOUN
бетарафлик,NOUN
бетаълим,NOUN
бетгачопар,NOUN
бетгачопарлик,NOUN
бетийиқ,NOUN
бетилсим,NOUN
бетиним,NOUN
бетинч,NOUN
бетламоқ,NOUN
бетлаштирмоқ,NOUN
бетоб,NOUN
бетоблик,NOUN
бетон,NOUN
бетонламоқ,NOUN
бетончи,NOUN
бетонқоргич,NOUN
бетоқат,NOUN
бетоқатланмоқ,NOUN
бетоқатлик,NOUN
бетутуриқ,NOUN
беунум,NOUN
беустухон,NOUN
бефарзанд,NOUN
бефарзандлик,NOUN
бефаросат,NOUN
бефаросатлик,NOUN
бефарқ,NOUN
бефарқлик,NOUN
бефаҳм,NOUN
бефаҳмлик,NOUN
бехавотир,NOUN
бехавотирлик,NOUN
бехуд,NOUN
бехудлик,NOUN
бечиқим,NOUN
бечора,NOUN
бечоралик,NOUN
бечорачилик,NOUN
беш,NOUN
бешак,NOUN
бешамак,NOUN
бешарм,NOUN
бешармлик,NOUN
бешбармоқ,NOUN
бешик,NOUN
бешик-белик,NOUN
бешиксўпоқ,NOUN
бешинчи,NOUN
бешлик,NOUN
бешқарсак,NOUN
беюз,NOUN
беюзлик,NOUN
беғам,NOUN
беғамлик,NOUN
беғараз,NOUN
беғаразлик,NOUN
беғубор,NOUN
беғуборлик,NOUN
беқарор,NOUN
беқарорлик,NOUN
беқувват,NOUN
беқувватлик,NOUN
беҳад,NOUN
беҳадлик,NOUN
беҳафсала,NOUN
беҳафсалалик,NOUN
беҳаё,NOUN
беҳаёлик,NOUN
беҳбеҳламоқ,NOUN
беҳбуд,NOUN
беҳбудлик,NOUN
беҳи,NOUN
беҳизор,NOUN
беҳол,NOUN
беҳоллик,NOUN
беҳуда,NOUN
беҳудалик,NOUN
беҳудуд,NOUN
беҳудудлик,NOUN
беҳурмат,NOUN
беҳурматлик,NOUN
