stem,pos,description
ablaq,ADJ,Adjective {Sifat}
ablaq,NOUN,Noun {Ot}
ablastika,NOUN,Noun {Ot}
ablefariya,NOUN,Noun {Ot}
ablyativ,NOUN,Noun {Ot}
ablyatsiya,NOUN,Noun {Ot}
abo,NOUN,Noun {Ot}
abobil,NOUN,Noun {Ot}
abolitsionist,NOUN,Noun {Ot}
abolitsionizm,NOUN,Noun {Ot}
abolitsiya,NOUN,Noun {Ot}
abonement,NOUN,Noun {Ot}
abonent,NOUN,Noun {Ot}
abonentlik,NOUN,Noun {Ot}
abordaj,NOUN,Noun {Ot}
aborigen,ADJ,Adjective {Sifat}
aborigen,NOUN,Noun {Ot}
aborigenlar,NOUN,Noun {Ot}
abort,NOUN,Noun {Ot}
abortiv,ADJ,Adjective {Sifat}
abortiv,NOUN,Noun {Ot}
abr,NOUN,Noun {Ot}
abrash,NOUN,Noun {Ot}
abrazion,NOUN,Noun {Ot}
abrazit,NOUN,Noun {Ot}
abraziv,ADJ,Adjective {Sifat}
abraziv,NOUN,Noun {Ot}
abrazivlar,NOUN,Noun {Ot}
abraziya,NOUN,Noun {Ot}
abrband,NOUN,Noun {Ot}
abrbandchi,NOUN,Noun {Ot}
abrbandchilik,NOUN,Noun {Ot}
abrbandi,NOUN,Noun {Ot}
abrbandlik,NOUN,Noun {Ot}
abrbandxona,NOUN,Noun {Ot}
abrek,NOUN,Noun {Ot}
abreklar,NOUN,Noun {Ot}
abriaxanit,NOUN,Noun {Ot}
abris,NOUN,Noun {Ot}
abrishim,NOUN,Noun {Ot}
abrishimdo‘z,NOUN,Noun {Ot}
abrishimi,NOUN,Noun {Ot}
abro',NOUN,Noun {Ot}
abro'kamon,ADJ,Adjective {Sifat}
abrogatsiya,NOUN,Noun {Ot}
abror,NOUN,Noun {Ot}
abro‘,NOUN,Noun {Ot}
abro‘kamon,NOUN,Noun {Ot}
absans,NOUN,Noun {Ot}
absenteist,NOUN,Noun {Ot}
absenteizm,NOUN,Noun {Ot}
absit,NOUN,Noun {Ot}
absolyut,ADJ,Adjective {Sifat}
absolyut,NOUN,Noun {Ot}
absolyutchi,NOUN,Noun {Ot}
absolyutchilik,NOUN,Noun {Ot}
absolyutizm,NOUN,Noun {Ot}
absorbat,NOUN,Noun {Ot}
absorbent,NOUN,Noun {Ot}
absorber,NOUN,Noun {Ot}
absorblanish,NOUN,Noun {Ot}
absorblash,NOUN,Noun {Ot}
absorblovchi,NOUN,Noun {Ot}
absorbsiometr,NOUN,Noun {Ot}
absorbsiometriya,NOUN,Noun {Ot}
absorbsion,NOUN,Noun {Ot}
absorbsiya,NOUN,Noun {Ot}
absorbsiyaviy,NOUN,Noun {Ot}
absorbtsiya,NOUN,Noun {Ot}
abssess,NOUN,Noun {Ot}
abssesslanuvchi,NOUN,Noun {Ot}
abssissa,NOUN,Noun {Ot}
abstinensiya,NOUN,Noun {Ot}
abstinent,NOUN,Noun {Ot}
abstraksionist,NOUN,Noun {Ot}
abstraksionistik,NOUN,Noun {Ot}
abstraksionizm,NOUN,Noun {Ot}
abstraksiya,NOUN,Noun {Ot}
abstraksiyalash,NOUN,Noun {Ot}
abstrakt,ADJ,Adjective {Sifat}
abstrakt,NOUN,Noun {Ot}
abstraktla,VERB,Verb {Fe'l}
abstraktlan,VERB,Verb {Fe'l}
abstraktlash,NOUN,Noun {Ot}
abstraktlash,VERB,Verb {Fe'l}
abstraktlashish,NOUN,Noun {Ot}
abstraktlashtir,VERB,Verb {Fe'l}
abstraktlashtiril,VERB,Verb {Fe'l}
abstraktlashtirish,NOUN,Noun {Ot}
abstraktlashtiruv,NOUN,Noun {Ot}
abstraktlik,NOUN,Noun {Ot}
abstraktsionist,NOUN,Noun {Ot}
abstraktsionizm,NOUN,Noun {Ot}
abstraktsiya,NOUN,Noun {Ot}
abstsess,NOUN,Noun {Ot}
absurd,NOUN,Noun {Ot}
abtar,NOUN,Noun {Ot}
abtarlik,NOUN,Noun {Ot}
abu,NOUN,Noun {Ot}
abujalik,NOUN,Noun {Ot}
abunlik,NOUN,Noun {Ot}
abushqa,NOUN,Noun {Ot}
abvob,NOUN,Noun {Ot}
abxaz,ADJ,Adjective {Sifat}
abxaz,NOUN,Noun {Ot}
abxazcha,NOUN,Noun {Ot}
abxazchala,VERB,Verb {Fe'l}
abxazchalash,NOUN,Noun {Ot}
abxazchalashtirish,NOUN,Noun {Ot}
abxaziyalik,NOUN,Noun {Ot}
abxazlar,NOUN,Noun {Ot}
abyot,NOUN,Noun {Ot}
abzal,NOUN,Noun {Ot}
abzalla,VERB,Verb {Fe'l}
abzallan,VERB,Verb {Fe'l}
abzallov,NOUN,Noun {Ot}
abzalsoz,NOUN,Noun {Ot}
abzalsozlik,NOUN,Noun {Ot}
abzas,NOUN,Noun {Ot}
abzats,NOUN,Noun {Ot}
ab’od,NOUN,Noun {Ot}
acha,ADV,Adverb {Ravish}
acha,NOUN,Noun {Ot}
achamayli,NOUN,Noun {Ot}
achambiti,NOUN,Noun {Ot}
achamoyli,NOUN,Noun {Ot}
achchelerando,NOUN,Noun {Ot}
achchig‘ichak,NOUN,Noun {Ot}
achchig‘ichakday,NOUN,Noun {Ot}
achchig‘lan,VERB,Verb {Fe'l}
achchig‘o‘t,NOUN,Noun {Ot}
achchiq,ADJ,Adjective {Sifat}
achchiq,NOUN,Noun {Ot}
achchiq-achchiq,NOUN,Noun {Ot}
achchiq-alam,NOUN,Noun {Ot}
achchiq-araz,NOUN,Noun {Ot}
achchiq-chuchuk,ADJ,Adjective {Sifat}
achchiq-chuchuk,NOUN,Noun {Ot}
achchiq-g‘araz,NOUN,Noun {Ot}
achchiq-tirsiq,ADJ,Adjective {Sifat}
achchiq-tirsiq,NOUN,Noun {Ot}
achchiq-tizziq,ADJ,Adjective {Sifat}
achchiq-tizziq,NOUN,Noun {Ot}
achchiqbodom,NOUN,Noun {Ot}
achchiqbuta,NOUN,Noun {Ot}
achchiqchan,NOUN,Noun {Ot}
achchiqdona,NOUN,Noun {Ot}
achchiqgilos,NOUN,Noun {Ot}
achchiqjom,NOUN,Noun {Ot}
achchiqlamoq,NOUN,Noun {Ot}
achchiqlan,VERB,Verb {Fe'l}
achchiqlanganlik,NOUN,Noun {Ot}
achchiqlanish,NOUN,Noun {Ot}
achchiqlanish,VERB,Verb {Fe'l}
achchiqlanmoq,ADJ,Adjective {Sifat}
achchiqlanmoq,NOUN,Noun {Ot}
achchiqlanmoq,PRN,Pronoun {Olmosh}
achchiqlantir,VERB,Verb {Fe'l}
achchiqlantirish,NOUN,Noun {Ot}
achchiqlanuv,NOUN,Noun {Ot}
achchiqlanuvchan,NOUN,Noun {Ot}
achchiqlash,VERB,Verb {Fe'l}
achchiqlashmoq,ADJ,Adjective {Sifat}
achchiqlashmoq,NOUN,Noun {Ot}
achchiqlashmoq,PRN,Pronoun {Olmosh}
achchiqlashuv,NOUN,Noun {Ot}
achchiqlik,NOUN,Noun {Ot}
achchiqmag‘iz,NOUN,Noun {Ot}
achchiqmiya,NOUN,Noun {Ot}
achchiqmiyaxo‘r,NOUN,Noun {Ot}
achchiqqozon,NOUN,Noun {Ot}
achchiqshirach,NOUN,Noun {Ot}
achchiqtarvuz,NOUN,Noun {Ot}
achchiqtomir,NOUN,Noun {Ot}
achchiqtosh,NOUN,Noun {Ot}
achi,VERB,Verb {Fe'l}
achib-bijib,NOUN,Noun {Ot}
achiganlik,NOUN,Noun {Ot}
achimaganlik,NOUN,Noun {Ot}
achimaslik,NOUN,Noun {Ot}
achimoq,ADJ,Adjective {Sifat}
achimoq,NOUN,Noun {Ot}
achimoq,PRN,Pronoun {Olmosh}
achimsiq,ADJ,Adjective {Sifat}
achimsiq,NOUN,Noun {Ot}
achimsiqlik,NOUN,Noun {Ot}
achimtir,NOUN,Noun {Ot}
achin,VERB,Verb {Fe'l}
achinarli,ADJ,Adjective {Sifat}
achinarli,NOUN,Noun {Ot}
achinganlik,NOUN,Noun {Ot}
achinish,NOUN,Noun {Ot}
achinish,VERB,Verb {Fe'l}
achinishli,NOUN,Noun {Ot}
achinishlik,NOUN,Noun {Ot}
achinmas,NOUN,Noun {Ot}
achinmaslik,NOUN,Noun {Ot}
achinmoq,ADJ,Adjective {Sifat}
achinmoq,NOUN,Noun {Ot}
achinmoq,PRN,Pronoun {Olmosh}
achinqira,VERB,Verb {Fe'l}
achinqirash,NOUN,Noun {Ot}
achinqirov,NOUN,Noun {Ot}
achintir,VERB,Verb {Fe'l}
achintirish,NOUN,Noun {Ot}
achintiruv,NOUN,Noun {Ot}
achinuv,NOUN,Noun {Ot}
achinuvchan,NOUN,Noun {Ot}
achish,NOUN,Noun {Ot}
achish,VERB,Verb {Fe'l}
achishganlik,NOUN,Noun {Ot}
achishish,NOUN,Noun {Ot}
achishmoq,ADJ,Adjective {Sifat}
achishmoq,NOUN,Noun {Ot}
achishmoq,PRN,Pronoun {Olmosh}
achishtir,VERB,Verb {Fe'l}
achishtirish,NOUN,Noun {Ot}
achishtiruv,NOUN,Noun {Ot}
achishuv,NOUN,Noun {Ot}
achit,VERB,Verb {Fe'l}
achitish,NOUN,Noun {Ot}
achitma,NOUN,Noun {Ot}
achitmago‘ja,NOUN,Noun {Ot}
achitmaslik,NOUN,Noun {Ot}
achitmoq,ADJ,Adjective {Sifat}
achitmoq,NOUN,Noun {Ot}
achitmoq,PRN,Pronoun {Olmosh}
achitqi,ADJ,Adjective {Sifat}
achitqi,NOUN,Noun {Ot}
achitqidoshlar,NOUN,Noun {Ot}
achitqilik,NOUN,Noun {Ot}
achittir,VERB,Verb {Fe'l}
achittirish,NOUN,Noun {Ot}
achittiruv,NOUN,Noun {Ot}
achituv,NOUN,Noun {Ot}
achom,NOUN,Noun {Ot}
achom-achom,NOUN,Noun {Ot}
achomla,VERB,Verb {Fe'l}
achomlamoq,ADJ,Adjective {Sifat}
achomlamoq,NOUN,Noun {Ot}
achomlamoq,PRN,Pronoun {Olmosh}
achomlash,NOUN,Noun {Ot}
achomlash,VERB,Verb {Fe'l}
achomlashish,NOUN,Noun {Ot}
achomlashish,VERB,Verb {Fe'l}
achomlov,NOUN,Noun {Ot}
ad'yunkt,NOUN,Noun {Ot}
ad'yunktura,NOUN,Noun {Ot}
ada,NOUN,Noun {Ot}
adab,NOUN,Noun {Ot}
adab-axloq,NOUN,Noun {Ot}
adab-madab,NOUN,Noun {Ot}
adab-pand,NOUN,Noun {Ot}
adabgoh,NOUN,Noun {Ot}
adabiy,ADJ,Adjective {Sifat}
adabiy,NOUN,Noun {Ot}
adabiy-badiiy,NOUN,Noun {Ot}
adabiy-estetik,NOUN,Noun {Ot}
adabiy-madaniy,NOUN,Noun {Ot}
adabiy-ma’rifiy,NOUN,Noun {Ot}
adabiy-nazariy,NOUN,Noun {Ot}
adabiy-publitsistik,NOUN,Noun {Ot}
adabiy-tanqidiy,NOUN,Noun {Ot}
adabiylash,NOUN,Noun {Ot}
adabiylashtir,VERB,Verb {Fe'l}
adabiylashtirish,NOUN,Noun {Ot}
adabiyot,NOUN,Noun {Ot}
adabiyotchi,NOUN,Noun {Ot}
adabiyotchilik,NOUN,Noun {Ot}
adabiyotlararo,NOUN,Noun {Ot}
adabiyotsevar,NOUN,Noun {Ot}
adabiyotshunos,NOUN,Noun {Ot}
adabiyotshunoslik,ADJ,Adjective {Sifat}
adabiyotshunoslik,NOUN,Noun {Ot}
adabli,ADJ,Adjective {Sifat}
adabli,NOUN,Noun {Ot}
adablilik,NOUN,Noun {Ot}
adabnoma,NOUN,Noun {Ot}
adabsiz,ADJ,Adjective {Sifat}
adabsiz,ADV,Adverb {Ravish}
adabsiz,NOUN,Noun {Ot}
adabsizlanmoq,NOUN,Noun {Ot}
adabsizlarcha,NOUN,Noun {Ot}
adabsizlik,ADJ,Adjective {Sifat}
adabsizlik,NOUN,Noun {Ot}
adad,NOUN,Noun {Ot}
adadsiz,ADJ,Adjective {Sifat}
adadsiz,ADV,Adverb {Ravish}
adadsiz,NOUN,Noun {Ot}
adajio,NOUN,Noun {Ot}
adaktiliya,NOUN,Noun {Ot}
adam,NOUN,Noun {Ot}
adamantan,NOUN,Noun {Ot}
adamellit,NOUN,Noun {Ot}
adamin,NOUN,Noun {Ot}
adamit,NOUN,Noun {Ot}
adamsit,NOUN,Noun {Ot}
adaptatsiogenez,NOUN,Noun {Ot}
adaptatsion,NOUN,Noun {Ot}
adaptatsiya,NOUN,Noun {Ot}
adaptatsiyalamoq,NOUN,Noun {Ot}
adaptatsiyalangan,NOUN,Noun {Ot}
adapter,NOUN,Noun {Ot}
adaptometr,NOUN,Noun {Ot}
adash,NOUN,Noun {Ot}
adash,VERB,Verb {Fe'l}
adash-adash,NOUN,Noun {Ot}
adash-udash,NOUN,Noun {Ot}
adasha-adasha,NOUN,Noun {Ot}
adashgan,NOUN,Noun {Ot}
adashganlik,NOUN,Noun {Ot}
adashgannamo,NOUN,Noun {Ot}
adashib-adashib,NOUN,Noun {Ot}
adashib-uloqish,NOUN,Noun {Ot}
adashib-uloqmoq,NOUN,Noun {Ot}
adashish,NOUN,Noun {Ot}
adashishlik,NOUN,Noun {Ot}
adashmoq,ADJ,Adjective {Sifat}
adashmoq,NOUN,Noun {Ot}
adashmoq,PRN,Pronoun {Olmosh}
adashtir,VERB,Verb {Fe'l}
adashtiril,VERB,Verb {Fe'l}
adashtirish,NOUN,Noun {Ot}
adashtirmoq,ADJ,Adjective {Sifat}
adashtirmoq,NOUN,Noun {Ot}
adashtirmoq,PRN,Pronoun {Olmosh}
adashtiruv,NOUN,Noun {Ot}
adashuv,NOUN,Noun {Ot}
adashuvchan,NOUN,Noun {Ot}
adashuvchanlik,NOUN,Noun {Ot}
adashuvchi,NOUN,Noun {Ot}
adasi,NOUN,Noun {Ot}
addenda,NOUN,Noun {Ot}
addendum,NOUN,Noun {Ot}
addisonizm,NOUN,Noun {Ot}
additiv,NOUN,Noun {Ot}
additivlik,NOUN,Noun {Ot}
addoiy,ADJ,Adjective {Sifat}
addoiy,NOUN,Noun {Ot}
adduktor,NOUN,Noun {Ot}
adekvat,NOUN,Noun {Ot}
adekvatlik,NOUN,Noun {Ot}
adelfan,NOUN,Noun {Ot}
adelomorfik,NOUN,Noun {Ot}
adenin,NOUN,Noun {Ot}
adenit,NOUN,Noun {Ot}
adenoidlar,NOUN,Noun {Ot}
adenokarsenoma,NOUN,Noun {Ot}
adenoma,NOUN,Noun {Ot}
adenomioma,NOUN,Noun {Ot}
adenopatiya,NOUN,Noun {Ot}
adenotomiya,NOUN,Noun {Ot}
adenoviruslar,NOUN,Noun {Ot}
adenozin,NOUN,Noun {Ot}
adentiya,NOUN,Noun {Ot}
adermiya,NOUN,Noun {Ot}
adgeziya,NOUN,Noun {Ot}
adi-badi,NOUN,Noun {Ot}
adi-bidi,NOUN,Noun {Ot}
adiabata,NOUN,Noun {Ot}
adiabatik,NOUN,Noun {Ot}
adiantum,NOUN,Noun {Ot}
adib,NOUN,Noun {Ot}
adiba,NOUN,Noun {Ot}
adiblik,ADJ,Adjective {Sifat}
adiblik,NOUN,Noun {Ot}
adibona,NOUN,Noun {Ot}
adigey,NOUN,Noun {Ot}
adigeycha,NOUN,Noun {Ot}
adigeychalash,NOUN,Noun {Ot}
adigeylar,NOUN,Noun {Ot}
adil,NOUN,Noun {Ot}
adilak,NOUN,Noun {Ot}
adillik,NOUN,Noun {Ot}
adinamiya,NOUN,Noun {Ot}
adinol,NOUN,Noun {Ot}
adip,NOUN,Noun {Ot}
adipla,VERB,Verb {Fe'l}
adiplamoq,ADJ,Adjective {Sifat}
adiplamoq,NOUN,Noun {Ot}
adiplamoq,PRN,Pronoun {Olmosh}
adiplash,NOUN,Noun {Ot}
adiplat,VERB,Verb {Fe'l}
adiplatish,NOUN,Noun {Ot}
adiplattir,VERB,Verb {Fe'l}
adiplik,NOUN,Noun {Ot}
adiplov,NOUN,Noun {Ot}
adipozin,NOUN,Noun {Ot}
adir,NOUN,Noun {Ot}
adir,PRN,Pronoun {Olmosh}
adir-gaza,NOUN,Noun {Ot}
adir-gazalar,NOUN,Noun {Ot}
adir-uva,NOUN,Noun {Ot}
adirli,NOUN,Noun {Ot}
adirlik,NOUN,Noun {Ot}
adiz,NOUN,Noun {Ot}
adjaster,NOUN,Noun {Ot}
adl,NOUN,Noun {Ot}
adl-amniyat,NOUN,Noun {Ot}
adl-insof,NOUN,Noun {Ot}
adliteratsiya,NOUN,Noun {Ot}
adliya,NOUN,Noun {Ot}
administrativ,NOUN,Noun {Ot}
administrator,NOUN,Noun {Ot}
administrator,PRN,Pronoun {Olmosh}
administratorlik,NOUN,Noun {Ot}
administratsiya,NOUN,Noun {Ot}
admiral,NOUN,Noun {Ot}
admirallik,NOUN,Noun {Ot}
admiralteystvo,NOUN,Noun {Ot}
adneksit,NOUN,Noun {Ot}
adno,NOUN,Noun {Ot}
ado,NOUN,Noun {Ot}
adoiy,NOUN,Noun {Ot}
adolat,NOUN,Noun {Ot}
adolatchi,NOUN,Noun {Ot}
adolatchilik,NOUN,Noun {Ot}
adolatli,ADJ,Adjective {Sifat}
adolatli,NOUN,Noun {Ot}
adolatlilik,NOUN,Noun {Ot}
adolatparvar,NOUN,Noun {Ot}
adolatparvarlik,NOUN,Noun {Ot}
adolatparvarona,NOUN,Noun {Ot}
adolatpesha,NOUN,Noun {Ot}
adolatsiz,ADJ,Adjective {Sifat}
adolatsiz,ADV,Adverb {Ravish}
adolatsiz,NOUN,Noun {Ot}
adolatsizlik,ADJ,Adjective {Sifat}
adolatsizlik,NOUN,Noun {Ot}
adolattalab,NOUN,Noun {Ot}
adolatxona,NOUN,Noun {Ot}
adoleskariy,NOUN,Noun {Ot}
adonis,NOUN,Noun {Ot}
adonizid,NOUN,Noun {Ot}
adoq,ADJ,Adjective {Sifat}
adoq,NOUN,Noun {Ot}
adoq,PRN,Pronoun {Olmosh}
adoqlamoq,ADJ,Adjective {Sifat}
adoqlamoq,NOUN,Noun {Ot}
adoqlamoq,PRN,Pronoun {Olmosh}
adoqla,VERB,Verb {Fe'l}
adoqsiz,ADJ,Adjective {Sifat}
adoqsiz,ADV,Adverb {Ravish}
adoqsiz,NOUN,Noun {Ot}
adosiz,NOUN,Noun {Ot}
adot,NOUN,Noun {Ot}
adovat,NOUN,Noun {Ot}
adovatan,NOUN,Noun {Ot}
adovatchi,NOUN,Noun {Ot}
adovatchilik,NOUN,Noun {Ot}
adovatkorona,NOUN,Noun {Ot}
adovatli,NOUN,Noun {Ot}
adovatsiz,NOUN,Noun {Ot}
adovatsizlik,NOUN,Noun {Ot}
adoyi,NOUN,Noun {Ot}
adramkash,NOUN,Noun {Ot}
adras,NOUN,Noun {Ot}
adras-kimxob,NOUN,Noun {Ot}
adrasbof,NOUN,Noun {Ot}
adrasboflik,NOUN,Noun {Ot}
adrasman,ADV,Adverb {Ravish}
adrasman,NOUN,Noun {Ot}
adrenalin,NOUN,Noun {Ot}
adrenoblokatorlar,NOUN,Noun {Ot}
adrenogenital,NOUN,Noun {Ot}
adrenokortikotrop,NOUN,Noun {Ot}
adrenomimetik,NOUN,Noun {Ot}
adrenoreaktiv,NOUN,Noun {Ot}
adres,NOUN,Noun {Ot}
adresant,NOUN,Noun {Ot}
adresat,NOUN,Noun {Ot}
adreslan,VERB,Verb {Fe'l}
adreslanmoq,ADJ,Adjective {Sifat}
adreslanmoq,NOUN,Noun {Ot}
adreslanmoq,PRN,Pronoun {Olmosh}
adresli,NOUN,Noun {Ot}
adressiz,NOUN,Noun {Ot}
adriapollik,NOUN,Noun {Ot}
adronlar,NOUN,Noun {Ot}
adsorbat,NOUN,Noun {Ot}
adsorbent,NOUN,Noun {Ot}
adsorbentlar,NOUN,Noun {Ot}
adsorber,NOUN,Noun {Ot}
adsorblamoq,NOUN,Noun {Ot}
adsorblangan,NOUN,Noun {Ot}
adsorblanuvchi,NOUN,Noun {Ot}
adsorblash,NOUN,Noun {Ot}
adsorblovchi,NOUN,Noun {Ot}
adsorbsion,NOUN,Noun {Ot}
adsorbsiya,NOUN,Noun {Ot}
adsorbsiyalovchi,NOUN,Noun {Ot}
adsorbtsiya,NOUN,Noun {Ot}
adu,NOUN,Noun {Ot}
aduliq,ADJ,Adjective {Sifat}
aduliq,NOUN,Noun {Ot}
adulyar,NOUN,Noun {Ot}
aduv,NOUN,Noun {Ot}
aduvlik,NOUN,Noun {Ot}
aduvliq,ADJ,Adjective {Sifat}
aduvliq,NOUN,Noun {Ot}
adveksiya,NOUN,Noun {Ot}
advektiv,NOUN,Noun {Ot}
adventist,NOUN,Noun {Ot}
adventistlar,NOUN,Noun {Ot}
adventiv,NOUN,Noun {Ot}
adverbial,NOUN,Noun {Ot}
adverbializatsiya,NOUN,Noun {Ot}
advokat,NOUN,Noun {Ot}
advokatlik,NOUN,Noun {Ot}
advokatura,NOUN,Noun {Ot}
advor,NOUN,Noun {Ot}
adyektiv,NOUN,Noun {Ot}
adyektivatsiya,NOUN,Noun {Ot}
adyol,NOUN,Noun {Ot}
adyolbof,NOUN,Noun {Ot}
adyolbop,NOUN,Noun {Ot}
adyutant,NOUN,Noun {Ot}
ad’yunkt,NOUN,Noun {Ot}
ad’yunktura,NOUN,Noun {Ot}
ad’yustaj,NOUN,Noun {Ot}
ad’yutant,NOUN,Noun {Ot}
ad’yutantlik,NOUN,Noun {Ot}
aerariy,NOUN,Noun {Ot}
aeratsiya,NOUN,Noun {Ot}
aerenxima,NOUN,Noun {Ot}
aero,NOUN,Noun {Ot}
aero-,NOUN,Noun {Ot}
aerob,NOUN,Noun {Ot}
aerobakteriyalar,NOUN,Noun {Ot}
aeroballistika,NOUN,Noun {Ot}
aerobika,NOUN,Noun {Ot}
aerobiologiya,NOUN,Noun {Ot}
aerobiontlar,NOUN,Noun {Ot}
aerobioz,NOUN,Noun {Ot}
aeroblar,NOUN,Noun {Ot}
aerobli,NOUN,Noun {Ot}
aerobomba,NOUN,Noun {Ot}
aerobus,NOUN,Noun {Ot}
aerochana,NOUN,Noun {Ot}
aerochanglagich,NOUN,Noun {Ot}
aerochanglash,NOUN,Noun {Ot}
aerodinamik,ADJ,Adjective {Sifat}
aerodinamik,NOUN,Noun {Ot}
aerodinamika,NOUN,Noun {Ot}
aerodrom,NOUN,Noun {Ot}
aerofagiya,NOUN,Noun {Ot}
aerofiltr,NOUN,Noun {Ot}
aerofitlar,NOUN,Noun {Ot}
aeroflot,NOUN,Noun {Ot}
aeroflotchi,NOUN,Noun {Ot}
aerofobiya,NOUN,Noun {Ot}
aerofon,NOUN,Noun {Ot}
aerofor,NOUN,Noun {Ot}
